Obs,TestRes/Var1,Var2,Var3,Var4,Var5,Var6
1,0,1,0,0,1,1
2,0,0,0,0,0,0
3,0,2,1,1,1,1
4,0,0,1,0,0,1
5,0,2,1,0,0,0
6,0,0,1,0,1,1
7,0,1,1,0,1,1
8,0,2,2,1,1,1
9,0,1,1,1,1,1
10,0,1,1,0,0,1
11,0,1,3,1,0,1
12,0,1,1,1,1,1
13,0,1,3,0,2,0
14,0,1,1,0,0,0
15,0,1,0,1,0,1
16,0,1,1,0,1,0
17,0,1,1,0,0,1
18,0,1,1,0,1,1
19,0,0,1,1,0,0
20,0,0,1,2,1,1
21,1,1,0,0,2,1
22,1,1,1,0,1,1
23,1,1,1,2,2,1
24,1,1,0,0,1,1
25,1,0,0,1,2,1
26,1,0,0,3,1,0
27,1,1,1,3,1,0
28,1,1,0,1,1,1
29,1,1,0,1,2,1
30,1,1,1,1,1,0
31,1,1,1,0,1,1
32,1,1,1,1,1,0
33,1,0,1,1,2,1
34,1,1,1,1,1,0
35,1,1,1,0,3,1
36,1,1,0,1,1,1
37,1,1,1,1,1,0
38,1,0,1,1,1,0
39,1,1,1,1,3,2
40,1,1,1,0,1,0